"id","system","bodyName","id64","edsmID","bodyID","type","subType","offset","distanceToArrival","isMainStar","isScoopable","isLandable","age","luminosity","absoluteMagnitude","solarMasses","solarRadius","gravity","earthMasses","radius","surfaceTemperature","surfacePressure","volcanismType","atmosphereType","terraformingState","orbitalPeriod","semiMajorAxis","orbitalEccentricity","orbitalInclination","argOfPeriapsis","rotationalPeriod","rotationalPeriodTidallyLocked","axialTilt","solidComposition","atmosphere","material","missingSkipCount","created_at","updated_at"
168,248,COL 173 SECTOR CC-K B25-8 A 5,540450231309575550,2772754,15,Planet,High metal content world,2,35.489491,,,1,,,,,,0.31801590510500327,0.0354,2127.9515,273,,No volcanism,No atmosphere,Not terraformable,14.947447916666667,0.0711296746551888,0.000133,-0.000413,124.336426,14.803829571759259,1,-0.502744,"{""Rock"":66.4099,""Metal"":33.5901,""Ice"":0}",,"{""Iron"":23.5104,""Nickel"":17.7822,""Sulphur"":16.5733,""Carbon"":13.9364,""Phosphorus"":8.92235,""Zinc"":6.38924,""Vanadium"":5.77332,""Zirconium"":2.73004,""Cadmium"":1.82569,""Tin"":1.52545,""Antimony"":1.03158}",,2018-11-30 02:06:20,2018-11-30 14:13:25
169,249,COL 173 SECTOR CG-M B24-8 A 4,360306248362370430,2185569,10,Planet,High metal content world,2,80.365356,,,1,,,,,,0.20219836013005804,0.009758,1401.1225,283,,No volcanism,No atmosphere,Not terraformable,3.6220576533564817,0.00007525371816672522,0.195151,-2.901861,236.049835,3.6539558015046296,,-0.041107,"{""Rock"":67.1758,""Metal"":32.8242,""Ice"":0}",,"{""Iron"":23.5547,""Nickel"":17.8158,""Sulphur"":16.7697,""Carbon"":14.1015,""Phosphorus"":9.02805,""Zinc"":6.40128,""Vanadium"":5.78421,""Zirconium"":2.73518,""Niobium"":1.60984,""Molybdenum"":1.53811,""Polonium"":0.661711}",,2018-11-30 02:06:20,2018-11-30 14:13:29
170,249,COL 173 SECTOR CG-M B24-8 A 5,396335045381334400,2185562,11,Planet,High metal content world,2,80.406532,,,1,,,,,,0.18525623255632306,0.007566,1288.93575,283,,No volcanism,No atmosphere,Not terraformable,3.6220576533564817,0.00009706244435202379,0.195151,-2.901861,56.049835,4.826062644675926,1,-0.393422,"{""Rock"":67.1758,""Metal"":32.8242,""Ice"":0}",,"{""Iron"":21.6387,""Nickel"":16.3666,""Sulphur"":15.4056,""Carbon"":12.9545,""Chromium"":9.73166,""Manganese"":8.93658,""Phosphorus"":8.29371,""Selenium"":2.41111,""Cadmium"":1.68035,""Molybdenum"":1.413,""Tellurium"":1.16811}",,2018-11-30 02:06:20,2018-11-30 14:13:29
171,250,COL 173 SECTOR CH-L D8-14 D 1,1729382748675590400,24079182,48,Planet,High metal content world,2,80737.835938,,,1,,,,,,0.33011777550152793,0.040151,2224.325,244,,No volcanism,No atmosphere,Not terraformable,25.84783275462963,0.10247618456243174,0.001524,-0.011285,150.541809,25.847951388888887,1,0.162366,"{""Rock"":67.6879,""Metal"":32.312200000000004,""Ice"":0}",,"{""Iron"":23.0221,""Nickel"":17.413,""Sulphur"":16.5613,""Carbon"":13.9263,""Manganese"":9.50789,""Phosphorus"":8.91586,""Germanium"":4.88741,""Zirconium"":2.67334,""Tungsten"":1.26414,""Mercury"":1.00534,""Technetium"":0.823408}",,2018-11-30 02:06:20,2018-11-30 14:13:33
172,250,COL 173 SECTOR CH-L D8-14 D 3,1837469139732482300,24072743,51,Planet,High metal content world,2,80734.53125,,,1,,,,,,0.329378201233954,0.039896,2219.73825,211,,No volcanism,No atmosphere,Not terraformable,3.5742411747685185,0.00019094671512593928,0.152122,-7.061072,168.335632,4.555575086805556,1,-0.43906,"{""Rock"":67.6879,""Metal"":32.312200000000004,""Ice"":0}",,"{""Iron"":20.9592,""Nickel"":15.8526,""Sulphur"":15.0773,""Carbon"":12.6784,""Chromium"":9.42603,""Manganese"":8.65592,""Phosphorus"":8.11693,""Zinc"":5.69591,""Tin"":1.37066,""Yttrium"":1.25187,""Mercury"":0.915252}",,2018-11-30 02:06:20,2018-11-30 14:13:33
173,251,COL 173 SECTOR CI-Y C15-1 B 6 A,900720286284747520,17183381,25,Planet,Rocky body,3,1016.790405,,,1,,,,,,0.056794144661544504,0.000311,471.96840625,212,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.6100613516319444,0.00004723667166473914,,-48.588856,78.36113,0.6177568449768518,1,-0.293035,"{""Rock"":85.9975,""Metal"":14.002500000000001,""Ice"":0}",,"{""Iron"":20.5298,""Sulphur"":18.3823,""Nickel"":15.5279,""Carbon"":15.4576,""Phosphorus"":9.89625,""Manganese"":8.47859,""Vanadium"":5.0414,""Arsenic"":2.42094,""Cadmium"":1.59423,""Niobium"":1.4031,""Ruthenium"":1.26785}",,2018-11-30 02:06:20,2018-11-30 14:13:37
174,252,COL 173 SECTOR DG-M B24-4 A 2,216182264461927776,7924727,6,Planet,High metal content world,2,8.766316,,,1,,,,,,0.2237115669867818,0.01263,1515.45125,458,,Major Rocky Magma,No atmosphere,,1.9053859230324075,0.017568313370385426,0.000044,0.050774,61.513676,-1.9053868272569445,,2.106803,,,"{""Iron"":21.9373,""Nickel"":16.5925,""Sulphur"":15.0867,""Carbon"":12.6863,""Chromium"":9.86594,""Phosphorus"":8.122,""Zinc"":5.96174,""Vanadium"":5.38704,""Cadmium"":1.70353,""Niobium"":1.4993,""Tellurium"":1.15773}",,2018-11-30 02:06:20,2018-11-30 14:13:41
175,252,COL 173 SECTOR DG-M B24-4 B 1,540441437632603520,7926325,15,Planet,High metal content world,2,365.2836,,,1,,,,,,0.0842068645571522,0.000735,595.874,433,,Metallic Magma,No atmosphere,,0.8894014033564814,0.008656369625720882,0.000179,0.005822,41.32782,0.8894014937847222,1,-0.262767,,,"{""Iron"":22.4273,""Nickel"":16.9631,""Sulphur"":15.6508,""Carbon"":13.1607,""Manganese"":9.26226,""Phosphorus"":8.42569,""Vanadium"":5.50737,""Germanium"":4.63711,""Niobium"":1.53279,""Tin"":1.45226,""Antimony"":0.980629}",,2018-11-30 02:06:20,2018-11-30 14:13:41
176,252,COL 173 SECTOR DG-M B24-4 B 2,576470234651567490,7926034,16,Planet,High metal content world,2,358.528503,,,1,,,,,,0.0941693526415965,0.001008,659.8724375,354,,Major Rocky Magma,No atmosphere,,1.886786205150463,0.014291761065821106,0.000055,-0.00198,210.026794,1.8867865668402777,1,0.467017,,,"{""Iron"":22.8089,""Nickel"":17.2517,""Sulphur"":15.7598,""Carbon"":13.2524,""Manganese"":9.41984,""Phosphorus"":8.48439,""Zinc"":6.1986,""Zirconium"":2.64858,""Cadmium"":1.77121,""Ruthenium"":1.40859,""Mercury"":0.996027}",,2018-11-30 02:06:20,2018-11-30 14:13:41
177,252,COL 173 SECTOR DG-M B24-4 B 3,648527828689495420,7926987,18,Planet,High metal content world,2,358.405457,,,1,,,,,,0.09605607508427044,0.001061,670.3163125,305,,Major Silicate Vapour Geysers,No atmosphere,,0.43610478153935184,0.000008369325339601909,0.084961,-6.73556,11.777766,1.0079676649305556,,0.215842,,,"{""Iron"":21.3426,""Nickel"":16.1427,""Sulphur"":14.6782,""Carbon"":12.3428,""Chromium"":9.59849,""Manganese"":8.81429,""Phosphorus"":7.90209,""Zinc"":5.80013,""Yttrium"":1.27477,""Tungsten"":1.17192,""Mercury"":0.931998}",,2018-11-30 02:06:20,2018-11-30 14:13:41
178,252,COL 173 SECTOR DG-M B24-4 B 4,684556625708459390,7926999,19,Planet,High metal content world,2,358.413483,,,1,,,,,,0.08558776249059724,0.000772,605.7415,305,,Major Silicate Vapour Geysers,No atmosphere,,0.43610478153935184,0.000011501659361519242,0.084961,-6.73556,191.777756,0.573218677662037,1,0.076812,,,,,2018-11-30 02:06:20,2018-11-30 14:13:41
179,253,COL 173 SECTOR DG-M B24-5 A 2 A,,7929976,,Planet,Rocky body,3,21,,,1,,,,,,0.06693339397458054,0.000507,555.0946875,456,,Major Silicate Vapour Geysers,No atmosphere,,0.22541718659722224,0.000019774953922522642,,2.014793,16.162861,0.234385534212963,1,-0.153805,,,"{""Iron"":19.8862,""Sulphur"":17.8512,""Nickel"":15.0411,""Carbon"":15.011,""Phosphorus"":9.6103,""Chromium"":8.94351,""Zinc"":5.40434,""Vanadium"":4.88337,""Niobium"":1.35912,""Molybdenum"":1.29856,""Technetium"":0.711251}",,2018-11-30 02:06:20,2018-11-30 14:13:45
180,253,COL 173 SECTOR DG-M B24-5 B 5,,7930634,,Planet,High metal content world,2,458,,,1,,,,,,0.12419185402263379,0.002347,876.7878125,348,,Major Silicate Vapour Geysers,No atmosphere,,0.46436577690972225,0.00001293567459179083,0.094204,0.913397,15.053047,0.6800290708217592,1,0.47304,,,"{""Iron"":22.6091,""Nickel"":17.1006,""Sulphur"":16.0936,""Carbon"":13.533,""Chromium"":10.1681,""Phosphorus"":8.66407,""Vanadium"":5.55201,""Zirconium"":2.62538,""Niobium"":1.54521,""Molybdenum"":1.47636,""Polonium"":0.632624}",,2018-11-30 02:06:20,2018-11-30 14:13:45
181,253,COL 173 SECTOR DG-M B24-5 B 6,,7930653,,Planet,High metal content world,2,458,,,1,,,,,,0.11864905105292475,0.002051,838.5620625,348,,Major Silicate Vapour Geysers,No atmosphere,,0.46436577690972225,0.000014805424633627488,0.094204,0.913397,195.05304,0.6356405978703703,1,-0.093971,,,"{""Iron"":22.9795,""Nickel"":17.3807,""Sulphur"":16.3572,""Carbon"":13.7547,""Phosphorus"":8.80601,""Zinc"":6.24497,""Vanadium"":5.64297,""Germanium"":4.80215,""Cadmium"":1.78446,""Tellurium"":1.24376,""Mercury"":1.00348}",,2018-11-30 02:06:20,2018-11-30 14:13:45
182,254,COL 173 SECTOR DH-K B25-2 A 5,360293052880594300,2268898,10,Planet,High metal content world,2,88.346458,,,1,,,,,,0.2968586326311319,0.029471,2009.588375,285,,No volcanism,No atmosphere,Not terraformable,44.87164351851852,0.17697385410713604,0.000406,1.049669,3.905663,44.87173611111111,1,0.396987,"{""Rock"":67.2068,""Metal"":32.7932,""Ice"":0}",,"{""Iron"":21.9552,""Nickel"":16.606,""Sulphur"":15.5634,""Carbon"":13.0872,""Chromium"":9.87397,""Phosphorus"":8.37864,""Zinc"":5.96659,""Vanadium"":5.39143,""Molybdenum"":1.43366,""Mercury"":0.958746,""Technetium"":0.785248}",,2018-11-30 02:06:20,2018-11-30 14:13:49
183,254,COL 173 SECTOR DH-K B25-2 A 7,468379443937486210,2269158,13,Planet,High metal content world,2,166.57283,,,1,,,,,,0.30602684864151486,0.032136,2066.8105,214,,No volcanism,No atmosphere,Not terraformable,116.01688657407408,0.3333818266171351,0.001648,2.836569,60.196396,116.01711805555556,1,-0.071936,"{""Rock"":67.206,""Metal"":32.7941,""Ice"":0}",,"{""Iron"":21.9933,""Nickel"":16.6348,""Sulphur"":15.5903,""Carbon"":13.1098,""Manganese"":9.08302,""Phosphorus"":8.39313,""Zinc"":5.97696,""Vanadium"":5.40079,""Tin"":1.41806,""Tungsten"":1.20765,""Tellurium"":1.19214}",,2018-11-30 02:06:20,2018-11-30 14:13:49
184,255,COL 173 SECTOR DK-Y B30-2 A 2,432350650676159870,16465158,12,Planet,High metal content world,2,12.368586,,,1,,,,,,0.07765504987092381,0.000585,553.5764375,468,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.5027072934722222,0.00000930878640507281,0.041147,-4.825603,98.784798,0.7137363462152777,1,-0.36072,"{""Rock"":67.0604,""Metal"":32.9396,""Ice"":0}",,"{""Iron"":21.9494,""Nickel"":16.6016,""Sulphur"":15.518,""Carbon"":13.049,""Manganese"":9.06489,""Phosphorus"":8.3542,""Zinc"":5.96503,""Vanadium"":5.39001,""Cadmium"":1.70447,""Tin"":1.4285,""Antimony"":0.974871}",,2018-11-30 02:06:20,2018-11-30 14:13:53
185,255,COL 173 SECTOR DK-Y B30-2 A 3,468379447695123840,16465066,13,Planet,High metal content world,2,12.363616,,,1,,,,,,0.07725858876262631,0.000576,550.70925,468,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.5027072934722222,0.00000945577212015759,0.041147,-4.825603,278.78479,0.7081673177083333,1,-0.09356,"{""Rock"":67.0604,""Metal"":32.9396,""Ice"":0}",,"{""Iron"":22.0329,""Nickel"":16.6647,""Sulphur"":15.577,""Carbon"":13.0986,""Chromium"":9.90891,""Phosphorus"":8.38596,""Zinc"":5.9877,""Germanium"":4.6274,""Molybdenum"":1.43873,""Yttrium"":1.316,""Mercury"":0.962138}",,2018-11-30 02:06:20,2018-11-30 14:13:53
186,256,COL 173 SECTOR DM-U D3-82 A 2 A,828665159646955900,7395572,23,Planet,Rocky body,3,1979.975342,,,1,,,,,,0.07297220576774995,0.000706,627.3474375,244,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.3877796314351852,0.000005044688697564464,0.095883,-2.936533,119.819283,0.6748716905439814,1,-0.471911,"{""Rock"":91.2824,""Metal"":8.717600000000001,""Ice"":0}",,"{""Iron"":19.4152,""Sulphur"":19.1728,""Carbon"":16.1223,""Nickel"":14.6848,""Phosphorus"":10.3218,""Chromium"":8.73165,""Germanium"":5.67806,""Arsenic"":2.53931,""Cadmium"":1.50768,""Niobium"":1.32693,""Polonium"":0.499438}",,2018-11-30 02:06:20,2018-11-30 14:13:57
187,257,COL 173 SECTOR DO-F C12-4 A 1,108087576031531696,15158652,3,Planet,High metal content world,2,331.973602,,,1,,,,,,0.2504313755548983,0.018066,1713.054375,294,,No volcanism,No atmosphere,,213.5292824074074,0.6657642259610049,0.000765,-0.087322,113.867012,1.642678855613426,,-0.386111,"{""Rock"":67.05290000000001,""Metal"":32.9471,""Ice"":0}",,"{""Iron"":22.2287,""Nickel"":16.8129,""Sulphur"":15.7369,""Carbon"":13.2331,""Manganese"":9.18023,""Phosphorus"":8.47206,""Vanadium"":5.4586,""Germanium"":4.61676,""Molybdenum"":1.45152,""Tin"":1.43648,""Ruthenium"":1.37276}",,2018-11-30 02:06:20,2018-11-30 14:14:01
188,258,COL 173 SECTOR DZ-D C13-2 12 A,1837469283051803390,16519199,51,Planet,Rocky body,2,2723.185059,,,1,,,,,,0.1275653275445022,0.003658,1080.0405,201,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.822359302662037,0.003187587615844321,0.000568,0.191004,61.671024,0.8223700629398148,1,-0.457764,"{""Rock"":91.00970000000001,""Metal"":8.9903,""Ice"":0}",,"{""Iron"":19.7994,""Sulphur"":19.1911,""Carbon"":16.1377,""Nickel"":14.9754,""Phosphorus"":10.3316,""Manganese"":8.17695,""Zinc"":5.38073,""Zirconium"":2.29912,""Niobium"":1.35318,""Yttrium"":1.18259,""Tin"":1.17212}",,2018-11-30 02:06:20,2018-11-30 14:14:05
189,259,COL 173 SECTOR EC-K B25-0 6,432346248603510140,2369815,12,Planet,Rocky Ice world,1,75.644073,,,1,,,,,,0.1514546302709859,0.011698,1772.55225,214,,Water Geysers,No atmosphere,Not terraformable,2.741646050347222,0.0004590421486527214,0.020946,-6.273722,111.950546,2.7684950086805555,1,-0.23807,,,"{""Sulphur"":20.393,""Iron"":17.2394,""Carbon"":17.1484,""Nickel"":13.0392,""Phosphorus"":10.9787,""Chromium"":7.75313,""Manganese"":7.11969,""Selenium"":3.19167,""Molybdenum"":1.12572,""Ruthenium"":1.06464,""Tungsten"":0.946616}",,2018-11-30 02:06:20,2018-11-30 14:14:09
190,260,COL 173 SECTOR EC-L D8-54 1 C,216174648268622176,2390339,6,Planet,Rocky body,2,644.559204,,,1,,,,,,0.2161676973363522,0.017048,1791.12475,285,,No volcanism,No atmosphere,Not terraformable,14.066879340277778,0.017225174368741866,0.020109,-7.280148,37.647888,14.067154224537036,1,-0.099641,"{""Rock"":91.2462,""Metal"":8.7538,""Ice"":0}",,"{""Iron"":18.9018,""Sulphur"":18.6221,""Carbon"":15.6593,""Nickel"":14.2965,""Phosphorus"":10.0253,""Chromium"":8.50075,""Manganese"":7.80624,""Arsenic"":2.4664,""Cadmium"":1.46781,""Tellurium"":1.4284,""Mercury"":0.825409}",,2018-11-30 02:06:20,2018-11-30 14:14:13
191,261,COL 173 SECTOR EM-L D8-69 B 2 A,540434336902515070,4843379,15,Planet,Rocky body,3,2001.52478,,,1,,,,,,0.18525908721763373,0.010101,1489.282,481,,Minor Metallic Magma,No atmosphere,Not terraformable,1.2733734809027777,0.0002972317706925758,,59.868225,44.729134,1.2824089445949074,1,0.00739,"{""Rock"":85.9773,""Metal"":14.022699999999999,""Ice"":0}",,"{""Iron"":20.5437,""Sulphur"":18.34,""Nickel"":15.5384,""Carbon"":15.422,""Phosphorus"":9.87344,""Zinc"":5.58301,""Germanium"":5.39593,""Vanadium"":5.04482,""Cadmium"":1.59531,""Tellurium"":1.39756,""Tin"":1.26585}",,2018-11-30 02:06:20,2018-11-30 14:14:17
192,262,COL 173 SECTOR EZ-D C13-25 B 1,1116899664931492480,24615672,31,Planet,High metal content world,2,25226.451172,,,1,,,,,,0.40257170485395716,0.068309,2627.25275,295,0.0000803584406612386,No volcanism,No atmosphere,Not terraformable,9.531290509259259,0.05237426930836657,0.000168,0.751575,55.030373,-9.531324508101852,,-1.627946,"{""Rock"":65.96039999999999,""Metal"":34.0396,""Ice"":0}",,"{""Iron"":21.0026,""Nickel"":15.8855,""Sulphur"":14.7503,""Carbon"":12.4035,""Chromium"":9.44556,""Manganese"":8.67385,""Phosphorus"":7.94094,""Zinc"":5.70772,""Cadmium"":1.63094,""Niobium"":1.43541,""Tellurium"":1.12368}",,2018-11-30 02:06:20,2018-11-30 14:14:21
193,263,COL 173 SECTOR FC-L D8-28 14 C,1008807289349409150,2247474,28,Planet,Rocky body,2,977.261658,,,1,,,,,,0.12957196642759833,0.003828,1096.2635,239,,No volcanism,No atmosphere,Not terraformable,7.482215711805556,0.01510261667113421,0.003003,0.177688,229.425125,7.482271412037037,1,0.201262,"{""Rock"":90.9833,""Metal"":9.0167,""Ice"":0}",,"{""Iron"":20.1385,""Sulphur"":19.5503,""Carbon"":16.4398,""Nickel"":15.2319,""Phosphorus"":10.5251,""Germanium"":5.83165,""Zinc"":5.47289,""Arsenic"":2.60799,""Tellurium"":1.51041,""Niobium"":1.37636,""Molybdenum"":1.31503}",,2018-11-30 02:06:20,2018-11-30 14:14:25
194,264,COL 173 SECTOR FS-I C10-2 B 4,288231011773125310,17334870,8,Planet,High metal content world,2,967.325928,,,1,,,,,,0.13783488286550893,0.003183,969.222,233,,Metallic Magma,No atmosphere,Not terraformable,0.7340819860416666,0.00001928163640633957,0.187911,-3.595779,237.485229,0.7188119845949075,,-0.077251,"{""Rock"":67.08619999999999,""Metal"":32.9138,""Ice"":0}",,"{""Iron"":22.2662,""Nickel"":16.8412,""Sulphur"":15.7949,""Carbon"":13.2819,""Chromium"":10.0139,""Phosphorus"":8.50328,""Vanadium"":5.46781,""Germanium"":4.65205,""Tungsten"":1.22264,""Antimony"":0.983789,""Mercury"":0.97233}",,2018-11-30 02:06:20,2018-11-30 14:14:29
195,265,COL 173 SECTOR FZ-D C13-30 2,72065925838181056,24622255,2,Planet,High metal content world,1,323.00293,,,1,,,,,,0.2190582788424128,0.012274,1509.724625,237,,No volcanism,No atmosphere,Not terraformable,229.9902314814815,0.647198239353015,0.000352,-0.069655,130.898697,0.7642040111458334,,0.437273,"{""Rock"":67.0219,""Metal"":32.9781,""Ice"":0}",,"{""Iron"":21.1102,""Nickel"":15.9669,""Sulphur"":14.9533,""Carbon"":12.5742,""Chromium"":9.49395,""Manganese"":8.71829,""Phosphorus"":8.05022,""Vanadium"":5.18393,""Cadmium"":1.6393,""Tin"":1.37171,""Antimony"":0.938005}",,2018-11-30 02:06:20,2018-11-30 14:14:33
196,266,COL 173 SECTOR GG-E B28-3 A 1 A,288237660281578880,7108543,8,Planet,Rocky body,3,17.067314,,,1,,,,,,0.10152457154459911,0.001729,832.3316875,483,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.2698384602893518,0.00005539856591020316,,-61.505161,216.30896,0.2721162018981481,1,0.512421,"{""Rock"":85.7663,""Metal"":14.233699999999999,""Ice"":0}",,"{""Iron"":20.7606,""Sulphur"":18.3476,""Nickel"":15.7024,""Carbon"":15.4284,""Phosphorus"":9.87752,""Manganese"":8.5739,""Vanadium"":5.09807,""Zirconium"":2.41073,""Cadmium"":1.61215,""Ruthenium"":1.2821,""Mercury"":0.90658}",,2018-11-30 02:06:20,2018-11-30 14:14:37
197,267,COL 173 SECTOR GS-J B25-4 D 2,1873506924918088960,15643130,52,Planet,High metal content world,2,30163.898438,,,1,,,,,,0.22115165949575694,0.01274,1530.82,238,,No volcanism,No atmosphere,,10.37677806712963,0.04930089080472454,0.000177,-0.169114,4.519297,10.376803385416666,1,-0.031006,"{""Rock"":67.6301,""Metal"":32.3698,""Ice"":0}",,"{""Iron"":22.3016,""Nickel"":16.868,""Sulphur"":16.0405,""Carbon"":13.4884,""Chromium"":10.0298,""Phosphorus"":8.63553,""Zinc"":6.06074,""Zirconium"":2.58968,""Cadmium"":1.73182,""Tin"":1.45622,""Technetium"":0.797639}",,2018-11-30 02:06:20,2018-11-30 14:14:41
198,268,COL 173 SECTOR HI-M A55-0 A 2,360293460768213760,24557897,10,Planet,High metal content world,2,15.812286,,,1,,,,,,0.22337492290794006,0.012944,1535.329375,273,,No volcanism,No atmosphere,Not terraformable,5.2061968315972225,0.031665426104223286,0.001839,-0.516671,157.629883,5.141369719328703,1,0.507739,"{""Rock"":66.8095,""Metal"":33.1905,""Ice"":0}",,"{""Iron"":22.6499,""Nickel"":17.1315,""Sulphur"":15.9759,""Carbon"":13.4341,""Chromium"":10.1864,""Phosphorus"":8.60075,""Vanadium"":5.56204,""Arsenic"":2.10246,""Niobium"":1.548,""Tin"":1.45601,""Yttrium"":1.35285}",,2018-11-30 02:06:20,2018-11-30 14:14:45
199,268,COL 173 SECTOR HI-M A55-0 A 3,432351054806141700,24557958,12,Planet,High metal content world,2,21.27874,,,1,,,,,,0.1833482743958182,0.0073,1272.64575,240,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.3990889937847222,0.0000173511744375383,0.021697,3.948372,194.439529,0.5807427300347222,1,0.48495,"{""Rock"":66.8122,""Metal"":33.1878,""Ice"":0}",,"{""Iron"":22.5109,""Nickel"":17.0263,""Sulphur"":15.8783,""Carbon"":13.352,""Chromium"":10.1239,""Phosphorus"":8.54821,""Zinc"":6.11763,""Arsenic"":2.08962,""Niobium"":1.5385,""Molybdenum"":1.46995,""Yttrium"":1.34455}",,2018-11-30 02:06:20,2018-11-30 14:14:45
200,269,COL 173 SECTOR HM-Z B28-1 A 3,504406048911205760,17711200,14,Planet,High metal content world,2,58.186142,,,1,,,,,,0.1474576203428364,0.00386,1031.9165,368,,Major Rocky Magma,No atmosphere,Not terraformable,1.276550021701389,0.000028414776093467486,0.083931,-7.705827,112.134254,1.9085642722800926,1,0.355955,"{""Rock"":66.7689,""Metal"":33.231100000000005,""Ice"":0}",,"{""Iron"":21.3346,""Nickel"":16.1366,""Sulphur"":15.0156,""Carbon"":12.6266,""Chromium"":9.59486,""Manganese"":8.81096,""Phosphorus"":8.08375,""Germanium"":4.42235,""Niobium"":1.4581,""Tin"":1.37126,""Tellurium"":1.1454}",,2018-11-30 02:06:20,2018-11-30 14:14:49
201,269,COL 173 SECTOR HM-Z B28-1 A 4,540434845930169730,17711191,15,Planet,High metal content world,2,58.169327,,,1,,,,,,0.137220941642381,0.003125,962.496875,368,,Major Rocky Magma,No atmosphere,Not terraformable,1.276550021701389,0.00003510107781233279,0.083931,-7.705827,292.134247,1.717191478587963,1,-0.38279,"{""Rock"":66.7689,""Metal"":33.231100000000005,""Ice"":0}",,"{""Iron"":23.4416,""Nickel"":17.7302,""Sulphur"":16.4986,""Carbon"":13.8736,""Chromium"":10.5425,""Phosphorus"":8.88211,""Zirconium"":2.72205,""Arsenic"":2.17305,""Niobium"":1.60211,""Tin"":1.50668,""Antimony"":1.02757}",,2018-11-30 02:06:20,2018-11-30 14:14:49
202,270,COL 173 SECTOR HN-I B26-5 A 1,252213258893469056,15141906,7,Planet,High metal content world,2,94.863617,,,1,,,,,,0.16569187829372006,0.005472,1159.06275,290,,No volcanism,No atmosphere,,46.79168402777778,0.1900166510859302,0.000523,0.213405,294.310059,46.791689814814816,1,-0.208555,"{""Rock"":67.2627,""Metal"":32.737300000000005,""Ice"":0}",,"{""Iron"":21.9275,""Nickel"":16.585,""Sulphur"":15.615,""Carbon"":13.1306,""Chromium"":9.86152,""Manganese"":9.05583,""Phosphorus"":8.40644,""Arsenic"":2.0576,""Tin"":1.42996,""Antimony"":0.972979,""Mercury"":0.957537}",,2018-11-30 02:06:20,2018-11-30 14:14:53
203,271,COL 173 SECTOR HN-J D9-52 1 A,936750519945218430,7138253,26,Planet,Rocky body,2,1140.359497,,,1,,,,,,0.2144401367742321,0.016576,1773.255625,286,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.7563068757291667,0.0030178962166204147,0.005991,0.494658,189.708588,0.7563211624768518,1,-0.206488,"{""Rock"":90.9028,""Metal"":9.097199999999999,""Ice"":0}",,"{""Iron"":18.709,""Sulphur"":18.0805,""Carbon"":15.2038,""Nickel"":14.1507,""Phosphorus"":9.73374,""Chromium"":8.41406,""Manganese"":7.72662,""Vanadium"":4.59428,""Cadmium"":1.45284,""Yttrium"":1.11747,""Mercury"":0.816991}",,2018-11-30 02:06:20,2018-11-30 14:14:57
204,271,COL 173 SECTOR HN-J D9-52 1 C A,1044836911002110340,7138296,29,Planet,Rocky body,3,1149.501709,,,1,,,,,,0.08877807756152539,0.001367,791.4361875,237,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.3799925853587963,0.00004247160049985926,,-63.818996,316.357391,0.39151267723379624,1,0.025189,"{""Rock"":96.8012,""Metal"":3.1988000000000003,""Ice"":0}",,"{""Sulphur"":21.0707,""Iron"":18.8699,""Carbon"":17.7182,""Nickel"":14.2724,""Phosphorus"":11.3435,""Germanium"":6.22963,""Zinc"":5.12813,""Zirconium"":2.19118,""Cadmium"":1.46533,""Tungsten"":1.03615,""Technetium"":0.6749}",,2018-11-30 02:06:20,2018-11-30 14:14:57
205,271,COL 173 SECTOR HN-J D9-52 2 A,1188952099077966080,7136728,33,Planet,Rocky body,2,1111.187744,,,1,,,,,,0.11404483271256098,0.002618,966.3435,216,,Major Silicate Vapour Geysers,No atmosphere,Not terraformable,0.847687355324074,0.002081873054360258,0.000089,0.050368,98.093521,-0.8476934136342593,,-1.821044,"{""Rock"":90.62989999999999,""Metal"":9.3701,""Ice"":0}",,"{""Iron"":19.0289,""Sulphur"":18.2912,""Carbon"":15.381,""Nickel"":14.3927,""Phosphorus"":9.8472,""Chromium"":8.55793,""Germanium"":5.40788,""Zinc"":5.17134,""Cadmium"":1.47768,""Niobium"":1.30052,""Antimony"":1.14363}",,2018-11-30 02:06:20,2018-11-30 14:14:57
206,271,COL 173 SECTOR HN-J D9-52 2 B,1224980896096930050,7136700,34,Planet,Rocky body,2,1111.279541,,,1,,,,,,0.08871028097070642,0.001253,758.00675,212,,Minor Silicate Vapour Geysers,No atmosphere,Not terraformable,1.4677844690393518,0.0030019627278023817,0.004959,0.082693,123.992241,1.467794777199074,1,-0.233923,"{""Rock"":90.9028,""Metal"":9.097199999999999,""Ice"":0}",,"{""Iron"":19.7463,""Sulphur"":19.0829,""Carbon"":16.0467,""Nickel"":14.9352,""Phosphorus"":10.2734,""Chromium"":8.88054,""Zinc"":5.36629,""Arsenic"":2.52315,""Niobium"":1.34955,""Molybdenum"":1.28942,""Polonium"":0.506538}",,2018-11-30 02:06:20,2018-11-30 14:14:57
