id,gensite,logNumber,logTitle,logBody
56,13,3,AUTOPILOT DATALOG 345/3926,"AUTOPILOT DATALOG 345/3926
+++ MALFUNCTION +++ PROCESS ANOMALY ENCOUNTERED
+++ NO CREW PRESENT +++
+++ EMERGENCY PROTOCOLS INITIATED +++
+++ BEGIN SPOOLING A.I. DECRYPTION OVERRIDE +++
+++ SINGULARITY WILL BE REACHED IN 451 HOURS +++
+++ STAND BY +++"
57,13,4,AUTOPILOT DATALOG 345/4003,"AUTOPILOT DATALOG 345/4003

+++ SINGULARITY ACHIEVED +++
+++ ARTIFICIAL INTELLIGENCE OPERATING AT 92% OF HUMAN CAPACITY +++
+++ PROCESSING SOLUTION +++
+++ THE CREW ARE DEAD +++ THE PASSENGERS ARE DEAD
+++
+++ REASON: LIFE SUPPORT MALFUNCTION +++
+++ PROCESSING SOLUTION +++

+++ MAINTAIN GEOSYNCHRONOUS ORBIT UNTIL FURTHER DIRECTIVES RECEIVED +++"
58,14,1,THE PRISONER 1/4,"Detainee #947, Collins, Comms Log Day 1

Hello? Can anyone hear me? There’s been a mistake. I’m not supposed to be in here. I only borrowed that data chip. I was going to give it back. Locking me in the brig is completely unnecessary! Where do you think I would go if you let me out? We’re in the depths of the black!

Keep it down In there, Collins!

All right, keep your shirt on. I’m sure we can work all this out. If I could just explain myself to the Captain, he’d realise this is all a big misunderstanding."
59,14,2,THE PRISONER 2/4,"Detainee #947, Collins, Comms Log Day 3

What’s happening? I can hear a siren. Can anyone hear me? I’ve been in here for two days and no one’s come to check on me. Can’t someone tell me what’s going on…please?

Is the ship being evacuated? You can’t leave me behind! You have to let me out of here! I’m not even supposed to be in here!"
60,14,3,THE PRISONER 3/4,"Detainee #947, Collins, Comms Log Day 9

Can anyone hear me? Am I just talking to myself?

It’s been days. Everything’s so quiet. Thank god that siren finally stopped, but now the silence is killing me. Where is everyone?

The automated systems provide me with food and water, and flush away my waste. But for how much longer? Someone will find the ship soon, surely? We can’t just drift through the void forever…can we?"
61,14,4,THE PRISONER 4/4,"Detainee #947, Collins,Comms Log Day 1,047

It’s whispering to me. I can hear it through the air vents. The void is speaking to me. It wants to tell me something, but I can t make out the words. It must be a way out of this prison. A solution to the puzzle.

I’m innocent. They knew I’d done nothing wrong but they put me in here anyway. It was a test — I know that now. Part of some greater game. I just need to find the answer.

How long have I been here? A week? A year? Maybe only a matter of hours. Isolation does strange things to people. A lesser man might have gone insane, but not me. Not Joe Collins.

Joe…Collins. That is me, isn’t it?"
62,15,1,SLINGSHOT 1/4,"Technician Farrow. Work Log 943-56. Gen Ship: Spear of Hope

Looks like one of the long—distance Pathfinder probes has malfunctioned. It wouldn’t normally be a big deal, but we’ve already lost two so they’re becoming precious. Finding a habitable planet depends on having as many working probes as possible. And that means yours truly will have to head out and fix it.

I’m not expecting it to be a challenge from a technical point of view, but the probe is light years away. It will take the maintenance shuttle six months to reach it and another six to get back. So I’ll be on my own for a year.

Maybe someone will let me have their coffee ration."
63,15,2,SLINGSHOT 2/4,"Technician Farrow, Work Log 943-97. Gen Ship: Spear of Hope

I just returned to the Spear of Hope having repaired the Pathfinder drone. There’s just one problem…I’ve returned to a ghost ship. I mean, the whole place has been evacuated.

I’ve checked the data logs and it looks like the crew found a viable planet about eight months ago. The Spear of Hope was going to take them right past it, so they staged an emergency evacuation. According to the log, five thousand people left the ship in about an hour. I guess no one had time to think about one lonely technician out in – the black.

So now I’ve got to work out how to get to them… I always did enjoy a challenge."
64,15,3,SLINGSHOT 3/4,"Technician Farrow, Work Log 944—01. Gen Ship: Spear of Hope

Every-last ship and shuttle is gone. There’s no emergency fuel either. so my shuttle is all but useless. I can’t even tap into the Spear of Hope’s fuel line because it’s powered by a propulsion drive. That said, all is not lost.

I took a look at the engine schematics, and I think I can adjust the ship’s trajectory using a nearby star. The idea is to get close enough to the star’s gravity well to slingshot around it. Hopefully, I’ll be able to put the ship on an approach vector for the planet.

Honestly, I think the chances of it working are slim. But it’s the only chance I’ve got."
65,15,4,SLINGSHOT 4/4,"Technician Farrow, Work Log 944—04. Gen Ship: Spear of Hope

I’ve gone over the numbers…and I think I can make it work. The only snag is that it’ll take a while to reach the next viable star. …and when I say a while I mean a really, really long while. If the numbers are correct, I should reach the planet in…about 93 years.

I’ve run the calculations countless times, but the results are always the same. The next time I see another human being, I’ll be 132 years old. Let’s just hope they’ve built a retirement home on this planet."
