"id","`key`","value","`type`","environment","tag"
98,db_model_tsstatuses,"{""status"":{""unique"":true,""type"":""string"",""required"":true}}",object,,
99,db_model_users-permissions_permission,"{""type"":{""type"":""string"",""required"":true,""configurable"":false},""controller"":{""type"":""string"",""required"":true,""configurable"":false},""action"":{""type"":""string"",""required"":true,""configurable"":false},""enabled"":{""type"":""boolean"",""required"":true,""configurable"":false},""policy"":{""type"":""string"",""configurable"":false},""role"":{""model"":""role"",""via"":""permissions"",""plugin"":""users-permissions"",""configurable"":false}}",object,,
100,db_model_bodies,"{""system"":{""model"":""system"",""via"":""bodies""},""bodyName"":{""type"":""string"",""required"":true,""unique"":true},""id64"":{""type"":""biginteger""},""edsmID"":{""type"":""integer""},""bodyID"":{""type"":""integer""},""type"":{""type"":""string""},""subType"":{""type"":""string""},""offset"":{""type"":""integer""},""distanceToArrival"":{""type"":""integer""},""isMainStar"":{""type"":""boolean""},""isScoopable"":{""type"":""boolean""},""isLandable"":{""type"":""boolean""},""age"":{""type"":""integer""},""luminosity"":{""type"":""string""},""absoluteMagnitude"":{""type"":""float""},""solarMasses"":{""type"":""float""},""solarRadius"":{""type"":""float""},""gravity"":{""type"":""float""},""earthMasses"":{""type"":""float""},""radius"":{""type"":""float""},""surfaceTemperature"":{""type"":""float""},""surfacePressure"":{""type"":""float""},""volcanismType"":{""type"":""string""},""atmosphereType"":{""type"":""string""},""terraformingState"":{""type"":""string""},""orbitalPeriod"":{""type"":""float""},""semiMajorAxis"":{""type"":""float""},""orbitalEccentricity"":{""type"":""float""},""orbitalInclination"":{""type"":""float""},""argOfPeriapsis"":{""type"":""float""},""rotationalPeriod"":{""type"":""float""},""rotationalPeriodTidallyLocked"":{""type"":""boolean""},""axialTilt"":{""type"":""float""},""solidComposition"":{""type"":""json""},""atmosphere"":{""type"":""json""},""material"":{""type"":""json""},""missingSkipCount"":{""default"":0,""type"":""integer""},""rings"":{""collection"":""ring"",""via"":""body"",""dominant"":true,""isVirtual"":true},""apsites"":{""collection"":""apsite"",""via"":""body"",""isVirtual"":true},""bmsites"":{""collection"":""bmsite"",""via"":""body"",""isVirtual"":true},""btsites"":{""collection"":""btsite"",""via"":""body"",""isVirtual"":true},""cssites"":{""collection"":""cssite"",""via"":""body"",""isVirtual"":true},""fgsites"":{""collection"":""fgsite"",""via"":""body"",""isVirtual"":true},""fmsites"":{""collection"":""fmsite"",""via"":""body"",""isVirtual"":true},""gbsites"":{""collection"":""gbsite"",""via"":""body"",""isVirtual"":true},""gensites"":{""collection"":""gensite"",""via"":""body"",""isVirtual"":true},""grsites"":{""collection"":""grsite"",""via"":""body"",""isVirtual"":true},""gssites"":{""collection"":""gssite"",""via"":""body"",""isVirtual"":true},""gvsites"":{""collection"":""gvsite"",""via"":""body"",""isVirtual"":true},""gysites"":{""collection"":""gysite"",""via"":""body"",""isVirtual"":true},""lssites"":{""collection"":""lssite"",""via"":""body"",""isVirtual"":true},""tbsites"":{""collection"":""tbsite"",""via"":""body"",""isVirtual"":true},""tssites"":{""collection"":""tssite"",""via"":""body"",""isVirtual"":true},""twsites"":{""collection"":""twsite"",""via"":""body"",""isVirtual"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
101,db_model_grreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""enum"":[""Alpha"",""Beta"",""Gamma""],""type"":""enumeration"",""required"":true},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""grsite""},""grobeliskreport"":{""collection"":""grobeliskreport"",""via"":""grreport"",""isVirtual"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
102,db_model_gscodexdata,"{""gsCodexCategory"":{""model"":""gscodexcategory""},""gsPrimaryArtifact"":{""model"":""gsartifact""},""gsSecondaryArtifact"":{""model"":""gsartifact""},""codexNumber"":{""min"":1,""type"":""integer"",""required"":true},""text"":{""unique"":true,""type"":""text"",""required"":true},""audio"":{""model"":""file"",""via"":""related"",""plugin"":""upload"",""required"":false},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
103,db_model_gsreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""enum"":[""Lacrosse"",""Crossroads"",""Fistbump"",""Hammerbot"",""Bear"",""Bowl"",""Turtle""],""type"":""enumeration"",""required"":true},""hasDatabank"":{""type"":""boolean""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""gssite""},""gsobeliskreport"":{""collection"":""gsobeliskreport"",""via"":""gsreport"",""isVirtual"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
104,db_model_hdreports,"{""fromSystemName"":{""type"":""string"",""required"":true},""toSystemName"":{""type"":""string"",""required"":true},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""screenshot"":{""model"":""file"",""via"":""related"",""plugin"":""upload""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""hdsite""},""hdRawJson"":{""type"":""json""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
105,db_model_systems,"{""systemName"":{""type"":""string"",""required"":true,""unique"":true},""id64"":{""type"":""biginteger""},""edsmID"":{""type"":""integer""},""edsmCoordX"":{""type"":""float""},""edsmCoordY"":{""type"":""float""},""edsmCoordZ"":{""type"":""float""},""edsmCoordLocked"":{""type"":""boolean""},""missingSkipCount"":{""default"":0,""type"":""integer""},""bodies"":{""collection"":""body"",""via"":""system"",""isVirtual"":true},""region"":{""model"":""region""},""primaryStar"":{""default"":"""",""type"":""json""},""apsites"":{""collection"":""apsite"",""via"":""system"",""isVirtual"":true},""bmsites"":{""collection"":""bmsite"",""via"":""system"",""isVirtual"":true},""btsites"":{""collection"":""btsite"",""via"":""system"",""isVirtual"":true},""cssites"":{""collection"":""cssite"",""via"":""system"",""isVirtual"":true},""fgsites"":{""collection"":""fgsite"",""via"":""system"",""isVirtual"":true},""fmsites"":{""collection"":""fmsite"",""via"":""system"",""isVirtual"":true},""gbsites"":{""collection"":""gbsite"",""via"":""system"",""isVirtual"":true},""gensites"":{""collection"":""gensite"",""via"":""system"",""isVirtual"":true},""grsites"":{""collection"":""grsite"",""via"":""system"",""isVirtual"":true},""gssites"":{""collection"":""gssite"",""via"":""system"",""isVirtual"":true},""gvsites"":{""collection"":""gvsite"",""via"":""system"",""isVirtual"":true},""gysites"":{""collection"":""gysite"",""via"":""system"",""isVirtual"":true},""lssites"":{""collection"":""lssite"",""via"":""system"",""isVirtual"":true},""tbsites"":{""collection"":""tbsite"",""via"":""system"",""isVirtual"":true},""tssites"":{""collection"":""tssite"",""via"":""system"",""isVirtual"":true},""twsites"":{""collection"":""twsite"",""via"":""system"",""isVirtual"":true},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
106,db_model_tbreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""type"":{""type"":""string"",""required"":true},""subtype"":{""enum"":[""Mega"",""Alpha"",""Beta"",""Gamma"",""Delta"",""Epsilon"",""Zeta"",""Unknown""],""type"":""enumeration"",""required"":true},""cycle"":{""enum"":[""Unknown"",""A"",""B"",""C"",""ABC""],""type"":""enumeration"",""required"":true},""frontierID"":{""type"":""integer""},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""tbsite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
107,db_model_tsreports,"{""userType"":{""default"":""console"",""type"":""enumeration"",""required"":true,""enum"":[""console"",""pc""]},""reportType"":{""default"":""new"",""type"":""enumeration"",""required"":true,""enum"":[""new"",""update"",""error""]},""systemName"":{""type"":""string"",""required"":true},""systemAddress"":{""type"":""biginteger""},""regionID"":{""type"":""integer""},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""bodyName"":{""type"":""string"",""required"":true},""latitude"":{""type"":""float"",""required"":true,""min"":-90,""max"":90},""longitude"":{""type"":""float"",""required"":true,""min"":-180,""max"":180},""status"":{""enum"":[""Active"",""Inactive""],""type"":""enumeration"",""required"":true},""cmdrName"":{""type"":""string"",""required"":true},""cmdrComment"":{""type"":""text""},""isBeta"":{""default"":false,""type"":""boolean""},""clientVersion"":{""required"":true,""type"":""string""},""screenshot"":{""collection"":""file"",""via"":""related"",""plugin"":""upload""},""reportStatus"":{""default"":""pending"",""type"":""enumeration"",""required"":true,""enum"":[""pending"",""updated"",""verified"",""accepted"",""declined"",""issue"",""duplicate""]},""reportComment"":{""type"":""text""},""voteCount"":{""type"":""integer""},""added"":{""default"":false,""type"":""boolean""},""site"":{""model"":""tssite""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
108,db_model_upload_file,"{""name"":{""type"":""string"",""configurable"":false,""required"":true},""hash"":{""type"":""string"",""configurable"":false,""required"":true},""sha256"":{""type"":""string"",""configurable"":false},""ext"":{""type"":""string"",""configurable"":false},""mime"":{""type"":""string"",""configurable"":false,""required"":true},""size"":{""type"":""string"",""configurable"":false,""required"":true},""url"":{""type"":""string"",""configurable"":false,""required"":true},""provider"":{""type"":""string"",""configurable"":false,""required"":true},""public_id"":{""type"":""string"",""configurable"":false},""related"":{""collection"":""*"",""filter"":""field"",""configurable"":false},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
109,db_model_upload_file_morph,"{""upload_file_id"":{""type"":""integer""},""related_id"":{""type"":""integer""},""related_type"":{""type"":""text""},""field"":{""type"":""text""}}",object,,
111,db_model_permitlock,"{""system"":{""type"":""string"",""required"":true},""region"":{""type"":""string"",""required"":true},""sector"":{""type"":""string"",""required"":true},""coordX"":{""type"":""float""},""coordY"":{""type"":""float""},""coordZ"":{""type"":""float""},""created_at"":{""type"":""timestamp""},""updated_at"":{""type"":""timestampUpdate""}}",object,,
112,db_model_users-permissions_user__cmdrs,"{""users-permissions_user_id"":{""type"":""integer""},""cmdr_id"":{""type"":""integer""}}",object,,
113,plugin_content_manager_configuration_content_types::alert,"{""uid"":""alert"",""settings"":{""searchable"":true,""filterable"":true,""bulkable"":true,""pageSize"":50,""mainField"":""title"",""defaultSortBy"":""title"",""defaultSortOrder"":""ASC""},""metadatas"":{""id"":{""edit"":{},""list"":{""label"":""Id"",""searchable"":true,""sortable"":true}},""title"":{""edit"":{""label"":""Title"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Title"",""searchable"":true,""sortable"":true}},""body"":{""edit"":{""label"":""Body"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Body"",""searchable"":true,""sortable"":true}},""alertLevel"":{""edit"":{""label"":""Alert Level"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Alert Level"",""searchable"":true,""sortable"":true}},""active"":{""edit"":{""label"":""Active"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Active"",""searchable"":true,""sortable"":true}},""tldr"":{""edit"":{""label"":""TLDR"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Tldr"",""searchable"":true,""sortable"":true}},""alertURL"":{""edit"":{""label"":""Alert URL"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""AlertURL"",""searchable"":true,""sortable"":true}},""alertImage"":{""edit"":{""label"":""Alert Image"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""AlertImage"",""searchable"":true,""sortable"":true}},""created_at"":{""edit"":{""label"":""Created_at"",""description"":"""",""placeholder"":"""",""visible"":false,""editable"":true},""list"":{""label"":""Created_at"",""searchable"":true,""sortable"":true}},""updated_at"":{""edit"":{""label"":""Updated_at"",""description"":"""",""placeholder"":"""",""visible"":false,""editable"":true},""list"":{""label"":""Updated_at"",""searchable"":true,""sortable"":true}}},""layouts"":{""list"":[""id"",""title"",""body"",""alertLevel""],""edit"":[[{""name"":""title"",""size"":6}],[{""name"":""body"",""size"":6}],[{""name"":""tldr"",""size"":6}],[{""name"":""active"",""size"":4},{""name"":""alertImage"",""size"":4}],[{""name"":""alertLevel"",""size"":4},{""name"":""alertURL"",""size"":6}]],""editRelations"":[]}}",object,"",""
114,plugin_content_manager_configuration_content_types::apreport,"{""uid"":""apreport"",""settings"":{""searchable"":true,""filterable"":true,""bulkable"":true,""pageSize"":50,""mainField"":""id"",""defaultSortBy"":""created_at"",""defaultSortOrder"":""DESC""},""metadatas"":{""id"":{""edit"":{},""list"":{""label"":""Id"",""searchable"":true,""sortable"":true}},""userType"":{""edit"":{""label"":""User Type"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""UserType"",""searchable"":true,""sortable"":true}},""reportType"":{""edit"":{""label"":""Report Type"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""ReportType"",""searchable"":true,""sortable"":true}},""systemName"":{""edit"":{""label"":""System Name"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""System"",""searchable"":true,""sortable"":true}},""systemAddress"":{""edit"":{""label"":""System Address"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""SystemAddress"",""searchable"":true,""sortable"":true}},""regionID"":{""edit"":{""label"":""Region ID"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""RegionID"",""searchable"":true,""sortable"":true}},""coordX"":{""edit"":{""label"":""Coord X"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""CoordX"",""searchable"":true,""sortable"":true}},""coordY"":{""edit"":{""label"":""Coord Y"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""CoordY"",""searchable"":true,""sortable"":true}},""coordZ"":{""edit"":{""label"":""Coord Z"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""CoordZ"",""searchable"":true,""sortable"":true}},""bodyName"":{""edit"":{""label"":""Body Name"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Body"",""searchable"":true,""sortable"":true}},""latitude"":{""edit"":{""label"":""Latitude"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Latitude"",""searchable"":true,""sortable"":true}},""longitude"":{""edit"":{""label"":""Longitude"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Longitude"",""searchable"":true,""sortable"":true}},""type"":{""edit"":{""label"":""Type"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Type"",""searchable"":true,""sortable"":true}},""frontierID"":{""edit"":{""label"":""Frontier ID"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""FrontierID"",""searchable"":true,""sortable"":true}},""cmdrName"":{""edit"":{""label"":""CMDR Name"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""CMDR Name"",""searchable"":true,""sortable"":true}},""cmdrComment"":{""edit"":{""label"":""CMDR Comment"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""CmdrComment"",""searchable"":true,""sortable"":true}},""isBeta"":{""edit"":{""label"":""Is Beta"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""IsBeta"",""searchable"":true,""sortable"":true}},""clientVersion"":{""edit"":{""label"":""Client Version"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Client Version"",""searchable"":true,""sortable"":true}},""reportStatus"":{""edit"":{""label"":""Report Status"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Report Status"",""searchable"":true,""sortable"":true}},""reportComment"":{""edit"":{""label"":""Report Comment"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""ReportComment"",""searchable"":true,""sortable"":true}},""voteCount"":{""edit"":{""label"":""Vote Count"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""VoteCount"",""searchable"":true,""sortable"":true}},""added"":{""edit"":{""label"":""Added"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Added"",""searchable"":true,""sortable"":true}},""site"":{""edit"":{""label"":""Site"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true,""mainField"":""siteID""},""list"":{""label"":""Site"",""searchable"":false,""sortable"":false}},""created_at"":{""edit"":{""label"":""Created_at"",""description"":"""",""placeholder"":"""",""visible"":false,""editable"":true},""list"":{""label"":""Created"",""searchable"":true,""sortable"":true}},""updated_at"":{""edit"":{""label"":""Updated_at"",""description"":"""",""placeholder"":"""",""visible"":false,""editable"":true},""list"":{""label"":""Updated_at"",""searchable"":true,""sortable"":true}}},""layouts"":{""list"":[""id"",""systemName"",""bodyName"",""clientVersion"",""reportStatus"",""cmdrName"",""created_at""],""edit"":[[{""name"":""userType"",""size"":6},{""name"":""reportType"",""size"":6}],[{""name"":""systemName"",""size"":6},{""name"":""systemAddress"",""size"":4}],[{""name"":""bodyName"",""size"":6},{""name"":""regionID"",""size"":4}],[{""name"":""coordX"",""size"":4},{""name"":""coordY"",""size"":4},{""name"":""coordZ"",""size"":4}],[{""name"":""latitude"",""size"":4},{""name"":""longitude"",""size"":4}],[{""name"":""type"",""size"":6},{""name"":""frontierID"",""size"":4}],[{""name"":""cmdrName"",""size"":6}],[{""name"":""cmdrComment"",""size"":6}],[{""name"":""isBeta"",""size"":4},{""name"":""clientVersion"",""size"":6}],[{""name"":""reportStatus"",""size"":6}],[{""name"":""reportComment"",""size"":6}],[{""name"":""voteCount"",""size"":4},{""name"":""added"",""size"":4}]],""editRelations"":[""site""]}}",object,"",""
115,plugin_content_manager_configuration_content_types::apiupdate,"{""uid"":""apiupdate"",""settings"":{""searchable"":true,""filterable"":true,""bulkable"":true,""pageSize"":50,""mainField"":""id"",""defaultSortBy"":""id"",""defaultSortOrder"":""ASC""},""metadatas"":{""id"":{""edit"":{},""list"":{""label"":""Id"",""searchable"":true,""sortable"":true}},""updateTime"":{""edit"":{""label"":""UpdateTime"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""UpdateTime"",""searchable"":true,""sortable"":true}},""error"":{""edit"":{""label"":""Error"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Error"",""searchable"":true,""sortable"":true}},""notes"":{""edit"":{""label"":""Notes"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Notes"",""searchable"":true,""sortable"":true}},""updateLog"":{""edit"":{""label"":""UpdateLog"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""UpdateLog"",""searchable"":false,""sortable"":false}}},""layouts"":{""list"":[""id"",""updateTime"",""error"",""notes""],""edit"":[[{""name"":""updateTime"",""size"":4},{""name"":""error"",""size"":4}],[{""name"":""notes"",""size"":6}],[{""name"":""updateLog"",""size"":12}]],""editRelations"":[]}}",object,"",""
116,plugin_content_manager_configuration_content_types::apsite,"{""uid"":""apsite"",""settings"":{""searchable"":true,""filterable"":true,""bulkable"":true,""pageSize"":50,""mainField"":""siteID"",""defaultSortBy"":""siteID"",""defaultSortOrder"":""ASC""},""metadatas"":{""id"":{""edit"":{},""list"":{""label"":""Id"",""searchable"":true,""sortable"":true}},""system"":{""edit"":{""label"":""System"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true,""mainField"":""systemName""},""list"":{""label"":""System"",""searchable"":false,""sortable"":false}},""body"":{""edit"":{""label"":""Body"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true,""mainField"":""bodyName""},""list"":{""label"":""Body"",""searchable"":false,""sortable"":false}},""siteID"":{""edit"":{""label"":""Site ID"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Site ID"",""searchable"":true,""sortable"":true}},""extoolID"":{""edit"":{""label"":""Extool ID"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""ExtoolID"",""searchable"":true,""sortable"":true}},""latitude"":{""edit"":{""label"":""Latitude"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Latitude"",""searchable"":true,""sortable"":true}},""longitude"":{""edit"":{""label"":""Longitude"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Longitude"",""searchable"":true,""sortable"":true}},""type"":{""edit"":{""label"":""Type"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true,""mainField"":""type""},""list"":{""label"":""Type"",""searchable"":false,""sortable"":false}},""frontierID"":{""edit"":{""label"":""Frontier ID"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Frontier ID"",""searchable"":true,""sortable"":true}},""verified"":{""edit"":{""label"":""Verified"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Verified"",""searchable"":true,""sortable"":true}},""visible"":{""edit"":{""label"":""Visible"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Visible"",""searchable"":true,""sortable"":true}},""discoveredBy"":{""edit"":{""label"":""Discovered By"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true,""mainField"":""cmdrName""},""list"":{""label"":""DiscoveredBy"",""searchable"":false,""sortable"":false}},""created_at"":{""edit"":{""label"":""Created_at"",""description"":"""",""placeholder"":"""",""visible"":false,""editable"":true},""list"":{""label"":""Created"",""searchable"":true,""sortable"":true}},""updated_at"":{""edit"":{""label"":""Updated_at"",""description"":"""",""placeholder"":"""",""visible"":false,""editable"":true},""list"":{""label"":""Updated"",""searchable"":true,""sortable"":true}}},""layouts"":{""list"":[""id"",""siteID"",""latitude"",""longitude"",""frontierID"",""verified"",""created_at"",""updated_at""],""edit"":[[{""name"":""siteID"",""size"":4},{""name"":""verified"",""size"":4}],[{""name"":""latitude"",""size"":4},{""name"":""longitude"",""size"":4}],[{""name"":""extoolID"",""size"":4},{""name"":""frontierID"",""size"":4}],[{""name"":""visible"",""size"":4}]],""editRelations"":[""system"",""body"",""type"",""discoveredBy""]}}",object,"",""
117,plugin_content_manager_configuration_content_types::aptype,"{""uid"":""aptype"",""settings"":{""searchable"":true,""filterable"":true,""bulkable"":true,""pageSize"":50,""mainField"":""type"",""defaultSortBy"":""type"",""defaultSortOrder"":""ASC""},""metadatas"":{""id"":{""edit"":{},""list"":{""label"":""Id"",""searchable"":true,""sortable"":true}},""type"":{""edit"":{""label"":""Type"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Type"",""searchable"":true,""sortable"":true}},""journalName"":{""edit"":{""label"":""Journal Name"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Journal Name"",""searchable"":true,""sortable"":true}},""journalID"":{""edit"":{""label"":""Journal ID"",""description"":"""",""placeholder"":"""",""visible"":true,""editable"":true},""list"":{""label"":""Journal ID"",""searchable"":true,""sortable"":true}}},""layouts"":{""list"":[""id"",""type"",""journalName"",""journalID""],""edit"":[[{""name"":""type"",""size"":6}],[{""name"":""journalName"",""size"":6},{""name"":""journalID"",""size"":4}]],""editRelations"":[]}}",object,"",""
