id,systemName,region
702,COL 173 SECTOR ET-W C16-16,18
703,COL 173 SECTOR ET-W C16-21,18
704,COL 173 SECTOR ET-W C16-22,18
705,COL 173 SECTOR ET-W C16-9,18
706,COL 173 SECTOR EZ-D C13-25,
707,COL 173 SECTOR FC-L D8-28,
708,COL 173 SECTOR FH-L D8-10,18
709,COL 173 SECTOR FH-L D8-17,18
710,COL 173 SECTOR FH-L D8-2,18
711,COL 173 SECTOR FH-L D8-27,18
712,COL 173 SECTOR FH-L D8-29,18
713,COL 173 SECTOR FH-L D8-3,18
714,COL 173 SECTOR FH-L D8-31,18
715,COL 173 SECTOR FH-L D8-38,18
716,COL 173 SECTOR FH-L D8-41,18
717,COL 173 SECTOR FH-L D8-43,18
718,COL 173 SECTOR FH-L D8-44,18
719,COL 173 SECTOR FH-L D8-46,18
720,COL 173 SECTOR FH-L D8-48,18
721,COL 173 SECTOR FH-L D8-8,18
722,COL 173 SECTOR FJ-E C13-6,18
723,COL 173 SECTOR FP-P B35-0,18
724,COL 173 SECTOR FP-P B35-2,18
725,COL 173 SECTOR FS-I C10-2,
726,COL 173 SECTOR FZ-D C13-30,
727,COL 173 SECTOR GA-O B23-1,18
728,COL 173 SECTOR GA-O B23-4,18
729,COL 173 SECTOR GG-E B28-3,
730,COL 173 SECTOR GH-L D8-23,
731,COL 173 SECTOR GH-L D8-32,18
732,COL 173 SECTOR GS-J B25-4,18
733,COL 173 SECTOR HI-M A55-0,
734,COL 173 SECTOR HJ-U B18-0,
735,COL 173 SECTOR HL-E B28-6,18
736,COL 173 SECTOR HM-M B23-3,18
737,COL 173 SECTOR HM-Z B28-1,
738,COL 173 SECTOR HN-I B26-5,
739,COL 173 SECTOR HN-J D9-52,
740,COL 173 SECTOR HP-D C13-11,18
741,COL 173 SECTOR HR-M B23-3,18
742,COL 173 SECTOR HS-S D4-77,
743,COL 173 SECTOR HU-D C13-2,
744,COL 173 SECTOR HU-P B35-3,
745,COL 173 SECTOR IE-R B34-3,
746,COL 173 SECTOR II-Y C15-7,
747,COL 173 SECTOR IJ-E C13-2,18
748,COL 173 SECTOR IJ-G B27-1,
749,COL 173 SECTOR IL-M C8-5,
750,COL 173 SECTOR IN-J D9-14,18
751,COL 173 SECTOR IN-J D9-20,18
752,COL 173 SECTOR IN-J D9-23,18
753,COL 173 SECTOR IN-J D9-24,18
754,COL 173 SECTOR IN-J D9-26,18
755,COL 173 SECTOR IN-J D9-32,18
756,COL 173 SECTOR IN-J D9-35,18
757,COL 173 SECTOR IN-J D9-45,18
758,COL 173 SECTOR IN-J D9-52,18
759,COL 173 SECTOR IN-J D9-54,18
760,COL 173 SECTOR IN-J D9-60,18
761,COL 173 SECTOR IN-J D9-63,18
762,COL 173 SECTOR IN-J D9-7,18
763,COL 173 SECTOR IN-J D9-8,18
764,COL 173 SECTOR IR-M D7-2,18
765,COL 173 SECTOR IU-C C14-24,18
766,COL 173 SECTOR IV-F B27-1,
767,COL 173 SECTOR IZ-D B29-8,18
768,COL 173 SECTOR IZ-Q B34-2,18
769,COL 173 SECTOR JB-F B27-1,
770,COL 173 SECTOR JE-E C13-29,18
771,COL 173 SECTOR JI-J B25-0,
772,COL 173 SECTOR JI-Y C15-7,
773,COL 173 SECTOR JP-C C14-13,18
774,COL 173 SECTOR JP-D C13-14,
775,COL 173 SECTOR JX-K B24-0,18
776,COL 173 SECTOR KN-J B25-5,
777,COL 173 SECTOR KN-J D9-1,18
778,COL 173 SECTOR KN-J D9-11,18
779,COL 173 SECTOR KN-J D9-19,18
780,COL 173 SECTOR KN-J D9-22,18
781,COL 173 SECTOR KN-J D9-33,18
782,COL 173 SECTOR KN-J D9-38,18
783,COL 173 SECTOR KP-T B34-8,
784,COL 173 SECTOR KS-J D9-37,
785,COL 173 SECTOR KT-G B40-2,
786,COL 173 SECTOR KX-A C14-5,18
787,COL 173 SECTOR KY-Q D5-13,
788,COL 173 SECTOR KY-Q D5-26,
789,COL 173 SECTOR KY-Q D5-47,
790,COL 173 SECTOR KY-Q D5-9,
791,COL 173 SECTOR LB-W B31-0,
792,COL 173 SECTOR LD-R D5-18,18
793,COL 173 SECTOR LD-R D5-19,18
794,COL 173 SECTOR LD-R D5-43,18
795,COL 173 SECTOR LJ-F C12-0,
796,COL 173 SECTOR LJ-F C12-3,
797,COL 173 SECTOR LN-M B23-1,
798,COL 173 SECTOR LR-C B29-4,18
799,COL 173 SECTOR LT-Q D5-82,
800,COL 173 SECTOR LT-Q D5-90,
801,COL 173 SECTOR LY-Q D5-13,
802,COL 173 SECTOR LY-Q D5-59,18
803,COL 173 SECTOR ME-P D6-92,
804,COL 173 SECTOR MF-P B35-3,18
805,COL 173 SECTOR MI-J D9-25,
806,COL 173 SECTOR MI-J D9-32,
807,COL 173 SECTOR MI-J D9-42,18
808,COL 173 SECTOR MI-J D9-44,18
809,COL 173 SECTOR MI-J D9-45,18
810,COL 173 SECTOR MI-J D9-5,18
811,COL 173 SECTOR MJ-H B26-0,
812,COL 173 SECTOR MN-K B24-4,
813,COL 173 SECTOR MO-W C16-15,
814,COL 173 SECTOR NJ-P D6-109,18
815,COL 173 SECTOR NJ-P D6-135,18
816,COL 173 SECTOR NM-C C13-4,18
817,COL 173 SECTOR NO-W C16-6,
818,COL 173 SECTOR NU-D C13-11,18
819,COL 173 SECTOR NV-B C14-1,
820,COL 173 SECTOR NX-A C14-4,18
821,COL 173 SECTOR NY-Q D5-44,18
822,COL 173 SECTOR OB-M B37-2,18
823,COL 173 SECTOR OC-C B29-1,18
824,COL 173 SECTOR OD-J B25-2,18
825,COL 173 SECTOR OE-G D11-57,
826,COL 173 SECTOR OE-P D6-11,18
827,COL 173 SECTOR OG-Z C15-35,
828,COL 173 SECTOR OI-Z C14-9,18
829,COL 173 SECTOR OL-W B31-1,18
830,COL 173 SECTOR OQ-T B33-2,18
831,COL 173 SECTOR OT-Q D5-18,
832,COL 173 SECTOR OT-X C15-4,18
833,COL 173 SECTOR OZ-U B33-6,
834,COL 173 SECTOR PA-R B20-1,
835,COL 173 SECTOR PE-P D6-110,
836,COL 173 SECTOR PE-W C16-2,
837,COL 173 SECTOR PF-E B28-3,
838,COL 173 SECTOR PN-V B18-0,
839,COL 173 SECTOR PP-N D7-47,18
840,COL 173 SECTOR PU-D C13-12,
841,COL 173 SECTOR PV-B C14-1,
842,COL 173 SECTOR PV-R B19-0,
843,COL 173 SECTOR PY-R D4-39,
844,COL 173 SECTOR PZ-O D6-110,
845,COL 173 SECTOR PZ-O D6-116,
846,COL 173 SECTOR QC-C B16-10,18
847,COL 173 SECTOR QQ-N B36-1,18
848,COL 173 SECTOR QU-O D6-12,18
849,COL 173 SECTOR QU-O D6-25,18
850,COL 173 SECTOR QU-O D6-32,
851,COL 173 SECTOR QU-U C17-16,18
852,COL 173 SECTOR QW-L B37-2,18
853,COL 173 SECTOR QY-B B29-0,
854,COL 173 SECTOR RE-P D6-13,18
855,COL 173 SECTOR RE-P D6-21,18
856,COL 173 SECTOR RE-P D6-7,18
857,COL 173 SECTOR RE-W C16-3,18
858,COL 173 SECTOR RG-N B36-2,18
859,COL 173 SECTOR RH-C B29-1,
860,COL 173 SECTOR RN-I B26-6,18
861,COL 173 SECTOR RT-I B25-1,
862,COL 173 SECTOR RU-O D6-16,18
863,COL 173 SECTOR RU-O D6-33,18
864,COL 173 SECTOR RU-O D6-56,18
865,COL 173 SECTOR SI-I B26-8,
866,COL 173 SECTOR SN-S D4-63,
867,COL 173 SECTOR SR-L B37-1,18
868,COL 173 SECTOR SX-B B29-1,
869,COL 173 SECTOR TG-A C15-12,
870,COL 173 SECTOR TJ-A B30-0,
871,COL 173 SECTOR TO-P D6-22,18
872,COL 173 SECTOR TO-P D6-54,18
873,COL 173 SECTOR TS-R B34-1,18
874,COL 173 SECTOR TS-R B34-2,18
875,COL 173 SECTOR TZ-P D5-35,
876,COL 173 SECTOR UG-B C14-0,
877,COL 173 SECTOR UH-T B20-1,
878,COL 173 SECTOR UM-L B37-1,18
879,COL 173 SECTOR UP-O D6-16,
880,COL 173 SECTOR UT-W B19-4,
881,COL 173 SECTOR UU-O D6-20,
882,COL 173 SECTOR UU-O D6-30,18
883,COL 173 SECTOR UU-O D6-42,
884,COL 173 SECTOR UV-D B28-3,
885,COL 173 SECTOR UZ-R B20-3,
886,COL 173 SECTOR VC-K B38-2,18
887,COL 173 SECTOR VI-I B26-7,18
888,COL 173 SECTOR VK-U C17-4,18
889,COL 173 SECTOR VN-A B30-1,
890,COL 173 SECTOR VP-N D7-109,
891,COL 173 SECTOR VV-S C18-0,
892,COL 173 SECTOR VX-J B38-1,
893,COL 173 SECTOR VZ-Q B21-3,18
894,COL 173 SECTOR WB-Z B15-2,
895,COL 173 SECTOR WF-N D7-52,18
896,COL 173 SECTOR WG-J C10-16,
897,COL 173 SECTOR WK-A A48-4,
898,COL 173 SECTOR WM-Y B31-2,
899,COL 173 SECTOR WN-B B29-1,
900,COL 173 SECTOR WP-O B22-1,
901,COL 173 SECTOR WT-O B36-0,
902,COL 173 SECTOR WW-H C11-15,
903,COL 173 SECTOR WZ-O B22-4,
904,COL 173 SECTOR WZ-O D6-42,18
905,COL 173 SECTOR XF-N D7-105,
906,COL 173 SECTOR XF-N D7-54,
907,COL 173 SECTOR XG-J C10-17,18
908,COL 173 SECTOR XH-H C11-21,
909,COL 173 SECTOR XL-K B25-1,
910,COL 173 SECTOR XR-X B16-2,
911,COL 173 SECTOR XT-Q B21-5,
912,COL 173 SECTOR XY-Y B30-1,
913,COL 173 SECTOR YA-N D7-17,
914,COL 173 SECTOR YF-N B23-5,
915,COL 173 SECTOR YF-N B23-6,
916,COL 173 SECTOR YF-N C7-5,18
917,COL 173 SECTOR YF-N D7-74,18
918,COL 173 SECTOR YG-A C15-12,18
919,COL 173 SECTOR YG-A C15-20,18
920,COL 173 SECTOR YH-L B37-2,
921,COL 173 SECTOR YQ-S C18-9,
922,COL 173 SECTOR YQ-W A63-2,
923,COL 173 SECTOR YV-M D7-23,
924,COL 173 SECTOR YW-H C11-16,
925,COL 173 SECTOR YX-Q A25-0,
926,COL 173 SECTOR ZC-T B33-4,
927,COL 173 SECTOR ZL-L B24-2,
928,COL 173 SECTOR ZL-L B24-7,
929,COL 173 SECTOR ZQ-L B25-1,18
930,COL 173 SECTOR ZS-F C12-27,18
931,COL 173 SECTOR ZW-Z C14-10,
932,COL 173 SECTOR ZZ-N B23-1,
933,COL 240 SECTOR IG-X D1-27,35
934,COL 285 SECTOR AL-O D6-173,18
935,COL 285 SECTOR AV-X C1-17,18
936,COL 285 SECTOR BQ-X C1-10,
937,COL 285 SECTOR BW-D C12-12,18
938,COL 285 SECTOR CV-X C1-17,18
939,COL 285 SECTOR CV-Y D57,18
940,COL 285 SECTOR CV-Y D71,18
941,COL 285 SECTOR EB-X D1-39,
942,COL 285 SECTOR GO-L B23-0,18
943,COL 285 SECTOR GW-W D1-66,18
944,COL 285 SECTOR IL-X C1-16,18
945,COL 285 SECTOR IL-X C1-4,18
946,COL 285 SECTOR KU-C B27-3,18
947,COL 285 SECTOR KY-H C10-26,18
948,COL 285 SECTOR LC-R B19-6,18
949,COL 285 SECTOR LL-R B19-6,18
950,COL 285 SECTOR MQ-F B11-3,18
951,COL 285 SECTOR NG-E B12-0,18
952,COL 285 SECTOR NM-V C2-9,18
953,COL 285 SECTOR OC-T B4-1,
954,COL 285 SECTOR QJ-P B6-5,18
955,COL 285 SECTOR RI-R B5-3,
956,COL 285 SECTOR TO-N B21-7,18
957,COL 285 SECTOR UF-J B24-6,18
958,COL 285 SECTOR VD-P B7-1,18
959,COL 285 SECTOR YO-Z C19,
960,COL 285 SECTOR ZZ-Y D22,
961,COL 359 SECTOR AO-R C5-9,18
962,COL 359 SECTOR EH-E A29-3,18
963,COL 359 SECTOR GJ-S B33-5,18
964,COL 359 SECTOR HC-L D8-32,18
965,COL 359 SECTOR KO-X B19-0,18
966,COL 359 SECTOR QH-G B26-4,18
967,COL 359 SECTOR RN-A C14-4,18
968,COL 359 SECTOR US-M B35-3,18
969,COL 359 SECTOR VF-Z B29-6,18
970,COL 359 SECTOR XG-M B8-1,18
971,COL 69 SECTOR BA-Z C0,34
972,COL 69 SECTOR DQ-U B4-0,34
973,COL 69 SECTOR GQ-Y D4,34
974,COL 69 SECTOR OO-G C11-11,18
975,COL 69 SECTOR PH-U C3-0,34
976,COL 69 SECTOR VY-R C4-1,34
977,COL 69 SECTOR YP-O D6-24,18
978,COLONIA,9
979,CORITURES,18
980,CORONA AUSTR. DARK REGION NX-U C2-15,18
981,CPD-51 3323,18
982,CRALOU AA-A H35,19
983,CRALOU QN-S D4-1,19
984,CRESCENT SECTOR GW-W C1-8,18
985,CRESCENT SECTOR KC-V C2-8,18
986,CROAGEAU KN-Q D6-4,13
987,CROOKAAE QT-C C15-2,9
988,CROOKI CA-S B35-1,32
989,CROOKI PX-V C17-2,32
990,CROOKOA IO-B C43,9
991,CROOMOEA DA-A E7842,
992,CRYATHS QM-H B37-0,
993,CSI-06-19031,18
994,CSI-20-17462,18
995,CSI+46-20087,
996,CYOAGEOU AA-V B33-1,13
997,CYOAGEOU HM-R B35-1,13
998,CYOAGIA AM-U D3-18,13
999,CYOIDAI IC-S D5-33,
1000,CYOIDAI JE-E C13-1,33
1001,CYOIDAI XE-Q D5-0,
1002,CYOIDAI XZ-O D6-4,34
1003,DECIAT,18
1004,DEHOAE XO-N C8-1,17
1005,DELPHI,18
1006,DIAGUANDRI,
1007,DROESPS AI-A C14-0,39
1008,DROETH OD-T D3-1,
1009,DROJAEA FB-F C14-9,18
1010,DROJAEA JL-Q B11-3,18
1011,DROJAEA SU-V D3-49,18
1012,DROJEAE PZ-P B38-1,18
1013,DROJEAE QT-P D6-16,18
1014,DROJEAE TW-K B0,18
1015,DROJEAE VK-M D8-2,
1016,DROJEAE WA-I C12-7,
1017,DROJEAE ZU-S C6-6,18
1018,DROJO TF-D D13-19,18
1019,DROJU BF-G C11-0,18
1020,DROJU CI-H C24-0,18
1021,DROJU EF-R D4-0,18
1022,DROJU GL-C B2-0,18
1023,DROJU HA-K B56-1,18
1024,DROJU HL-Y E0,18
1025,DROJU JS-I B43-5,18
1026,DROJU NM-W E1-0,18
1027,DROJU UK-D B46-0,18
1028,DROJU UM-M C7-0,18
1029,DROJU WH-M C7-0,18
1030,DROJU WJ-V B5-0,18
1031,DROJU XS-E C26-1,18
1032,DROJU YD-T D3-0,18
1033,DROJUAE YT-J B54-0,18
1034,DROKOE PT-Q E5-0,35
1035,DROOTEAE QF-L D9-88,24
1036,DROOTIE WL-J D10-20,24
1037,DROOTUIA HK-R D4-12,24
1038,DRYAA PHOE KY-F D12-1,
1039,DRYAA PHOE NK-C D14-2,
1040,DRYAA PHOE NN-S E4-0,
1041,DRYAA PRUAE JR-U D3-8975,
1042,DRYAE EAEWSY KN-J C25-3,
1043,DRYAE EAEWSY MF-G C27-2,
1044,DRYAE EAEWSY YQ-Y C3-3,
1045,DRYAEA AIRG ER-N D6-23,31
1046,DRYAEA AOB AW-N E6-340,9
1047,DRYAEA AOB DR-M D7-2109,
1048,DRYAEA AOB RZ-G D10-2989,9
1049,DRYAEA BROO HX-T D3-44,30
1050,DRYAEA FLEE GC-D D12-2343,
1051,DRYAEA FLEE GC-D D12-285,
1052,DRYAEA FLEE GC-D D12-4611,
1053,DRYAEA FREE GE-Q C6-0,10
1054,DRYAEA PHLAI SE-N B34-0,
1055,DRYAEA PHLAI TI-K C8-1,
1056,DRYAEA PHLAI VX-U C2-0,
1057,DRYAFAI GY-G D11-9,34
1058,DRYAFAI KE-E D13-40,34
1059,DRYAFAI LZ-D D13-17,34
1060,DRYAFAI OQ-B D14-11,34
1061,DRYAFAI PK-C D14-1,34
1062,DRYAFAI SF-C D14-32,34
1063,DRYAO AOSCS BB-O E6-711,
1064,DRYAO CHREA KG-W D2-1243,1
1065,DRYAO CHREA NP-Y C1-2898,1
1066,DRYAU AEC DL-Y D0,41
1067,DRYAU AUSMS AT-U D2-538,2
1068,DRYAU AUSMS DZ-S D3-158,2
1069,DRYAU AUSMS KG-Y E3390,2
1070,DRYAU AUSMS ML-P D5-1435,2
1071,DRYAU AUSMS RM-W D1-408,2
1072,DRYAU AUSMS TK-R C4-43,2
1073,DRYAU AUSMS TS-U E2-2717,2
1074,DRYAU AUSMS UM-W D1-744,2
1075,DRYAU AUSMS UQ-P C5-29,2
1076,DRYAU BRAI BH-Y C40,27
1077,DRYAU CHREA IO-P C6-5134,1
1078,DRYEAE FLEAU XL-D D12-95,30
1079,DRYEEJEAU ZX-H C23-2,
1080,DRYI AOC CB-O E6-329,
1081,DRYI AOC CH-C D13-218,
1082,DRYI BROAE MZ-F D11-5982,3
1083,DRYIO BLI PY-Z D10327,1
1084,DRYIO BLI XU-X E1-3611,1
1085,DRYIO BLOO DO-V C4-65,
1086,DRYIO FLYUAE VZ-X D1-1010,9
1087,DRYIO FLYUAE WU-V D3-6025,9
1088,DRYIQEE QU-G D10-4,12
1089,DRYIQI QB-D B13-0,7
1090,DRYIQI RS-U B3-3,7
1091,DRYIQI UY-T B18-2,7
1092,DRYIQIA ZX-U B19-0,6
1093,DRYIQUAE ND-Z C27-1,7
1094,DRYIQUAE SS-R C18-1,7
1095,DRYO AOB AR-U B46-1,16
1096,DRYO AOB NT-Y B44-0,16
1097,DRYO AOB TO-M C22-0,16
1098,DRYO AOB UJ-M C22-7,16
1099,DRYO AOB VJ-M C22-2,16
1100,DRYO AOB WE-G D11-32,16
1101,DRYO AOB XV-U B46-1,16
1102,DRYO AOB YZ-F D11-1,16
1103,DRYO AOB YZ-F D11-32,16
1104,DRYO AOB YZ-F D11-38,16
1105,DRYO AOB ZZ-F D11-12,16
1106,DRYO AOB ZZ-F D11-32,16
1107,DRYO AOB ZZ-F D11-46,16
1108,DRYOEA FLYAO DW-U D3-1903,5
1109,DRYOEA FLYAO NI-R D5-1054,5
1110,DRYOEA FLYAO NI-R D5-483,5
1111,DRYOEA FLYI NE-G D11-5073,4
1112,DRYOEA FLYI NS-J D9-759,4
1113,DRYOEA FLYUAE IS-A D14-843,4
1114,DRYOI GRAEI QO-X D2-4,2
1115,DRYOI GRIE NI-S E4-1229,
1116,DRYOI PRI MP-D D13-8500,2
1117,DRYOI PRUAE HH-A C2-63,2
1118,DRYOOE BLOU RY-S E3-1,11
1119,DRYOOE FLYOU TD-P C20-158,9
1120,DRYOOE GREE ZK-P D5-4,11
1121,DRYOOE PROU AF-A E210,9
1122,DRYOOE PROU DL-W D2-1431,4
1123,DRYOOE PROU EQ-Y D2011,9
1124,DRYOOE PROU FQ-Y D224,9
1125,DRYOOE PROU HH-C D475,
1126,DRYOOE PROU KG-X C1-135,9
1127,DRYOOE PROU LH-V D2-144,9
1128,DRYOOE PROU NI-A D1-1275,
1129,DRYOOE PROU QD-B E44,9
1130,DRYOOE PROU QH-C C567,9
1131,DRYOOE PROU SY-A E6845,9
1132,DRYUA PHOEA TZ-M D8-0,37
1133,DRYUAE AUSCS TI-S D4-9,2
1134,DRYUAE CHREA JH-V E2-8239,
1135,DUMBAE DN-I D10-811,2
1136,DUMBAE GI-J D9-7905,
1137,DUMBAE GS-A D1-2126,2
1138,DUMBAE JT-P D6-7417,2
1139,DUMBAE KY-Y D1-1401,2
1140,DUMBAE NM-W D1-6521,2
1141,DUMBAE QA-U D4-2111,2
1142,DUMBAE RM-W C17-1011,2
1143,DUMBAE SS-L C23-1154,2
1144,DUMBAE ZT-J C24-2156,2
1145,DUMBAI FL-Y D3356,6
1146,DUMBOE RX-L D7-8286,4
1147,DUMBOE SI-B C13-4123,4
1148,DYAVATA,18
1149,EACTAIFT VD-Z C27-14,13
1150,EACTAIKY NX-L D7-30,13
1151,EACTAIMLY XQ-C D13-1,13
1152,EACTAINDS DH-J D10-0,
1153,EACTAINDS VG-A C2-0,
1154,EAFOTH FO-P C19-1,
1155,EAFOTLS EH-D D12-1,31
1156,EAFOTS BP-I D9-49,33
1157,EAFOTS DK-I D9-69,
1158,EAFOTS DU-C B41-1,
1159,EAFOTS FB-F D11-20,
1160,EAFOTS GL-Y E2,33
1161,EAFOTS GQ-G D10-81,
1162,EAFOTS JW-E D11-80,
1163,EAFOTS JW-E D11-97,
1164,EAFOTS LC-D D12-16,
1165,EAFOTS MM-Q B46-0,33
1166,EAFOTS PC-G B52-0,33
1167,EAFOTS TC-M D7-10,33
1168,EAFOTS YO-G C24-1,33
1169,EAGLE SECTOR GW-W C1-29,18
1170,EAGLE SECTOR IR-W D1-105,18
1171,EAGLE SECTOR OI-T B3-11,18
1172,EAWRAINT RS-U D2-127,
1173,EDENE,18
1174,EEGAIPR EP-A D1,27
1175,EEGAIPS SJ-R E4-0,27
1176,EEPHAIK GU-K B39-2,9
1177,EEPHAIK ZJ-X D2-118,9
1178,EEPHAILLS GY-G D11-909,9
1179,EEPHAILLS VQ-K D9-2436,9
1180,EEPHAIM BA-P D6-3657,5
1181,EEPHAIM DW-C D13-5331,5
1182,EEPHAIM HF-C D14-2252,4
1183,EEPHAIM JM-L D8-170,5
1184,EEPHAIM QD-I D10-3086,5
1185,EEPHAINTS TS-G B0,16
1186,EESHOQS MK-D D13-2169,5
1187,EESHORKS CV-Y E2660,
1188,EESHORKS CV-Y E3683,
1189,EESHORKS JH-K D9-396,5
1190,EESHORKS QI-B D1411,
1191,EESHORKS SD-B D1524,5
1192,EESHORKS SD-B D785,5
1193,EESHORKS WJ-Z D423,5
1194,EESHORKS WO-A E197,
1195,EESHORKS WO-A E52,5
1196,EESHORKS ZU-X D1-774,5
1197,EESHORPS DY-G D11-1031,
1198,EGNAIWN QD-T E3-1416,2
1199,EGNAIWN YE-A E538,2
1200,EIDAIK OP-V D3-428,9
1201,EITOSY GM-T D4-0,
1202,EITOSY XU-O D6-0,
1203,ELECTRA,18
1204,ELEPHANT'S TRUNK SECTOR DL-Y D4,
1205,ELLAIDST JR-V E2-111,9
1206,ELLAIDST RI-J D9-704,9
1207,ELLAIRB CT-J C9-11,9
1208,ELLAIRB IM-K B10-8,9
1209,ELLAISMS QX-U E2-43,9
1210,ENGOFS SO-Z E0,
1211,ENGORSHCH YA-U D4-0,
1212,EOC PROAE FB-W E2-0,16
1213,EOCH BLAO KX-U E2-54,
1214,EOCH BYOEA UQ-D D12-3955,2
1215,EOCH FLYI IH-C D3407,9
1216,EOCH FLYI SI-A D1-531,9
1217,EOCH FLYUAE CS-A D14-1155,9
1218,EOCH FLYUAE NO-E C13-135,9
1219,EOCH FLYUAE WZ-P E5-4187,9
1220,EOCH FLYUAE YT-A E356,9
1221,EOCH HYPUE LV-W B35-0,31
1222,EOCH PROO KI-S E4-275,
1223,EOCH PRUAE HT-H D10-3488,
1224,EOCH PRUAE IL-X D1-2864,4
1225,EOCH PRUAE JI-K D8-297,
1226,EOCK BLUAE BK-A E0,
1227,EOCK BLUAE BY-T C3-0,11
1228,EOCK BLUAE EL-Y E0,11
1229,EOCK BLUAE HV-Y D1,11
1230,EOCK BLUAE IO-Q B6-0,
1231,EOCK BLUAE IQ-Y D3,
1232,EOCK BLUAE JQ-Y D4,11
1233,EOCK BLUAE LL-Y D5,
1234,EOCK BLUAE OO-R B5-0,11
1235,EOCK BLUAE OR-W D1-1,
1236,EOCK BLUAE OR-W D1-2,
1237,EOCK BLUAE OR-W D1-3,
1238,EOCK BLUAE PQ-X C1-0,
1239,EOCK BLUAE VM-V C2-1,11
1240,EOCK BLUAE VW-W C1-0,
1241,EOCK BLUAE ZF-N B8-0,
1242,EOCK FLYUAE PN-S D4-16,
1243,EOCS AIHM QX-U D2-0,37
1244,EOCS AIHM RU-I B9-0,37
1245,EODGORPH DW-M D7-148,9
1246,EODGORPH EB-O E6-111,9
1247,EODGORPH IP-A D359,9
1248,EODGORPH VO-Z D13-1537,9
1249,EODGORPH VX-R C18-26,9
1250,EOK BYOE JT-K C11-2004,1
1251,EOK PRUAE SZ-P D5-2681,2
1252,EOK PRUAE UF-Q C21-226,2
1253,EOK PRUAE WF-O D6-4103,2
1254,EOK PRUAE WQ-P C21-702,2
1255,EOK PRUAE YH-Z C14-66,2
1256,EOK PRUAE ZQ-M D7-794,2
1257,EOL BLOAE MW-W C4-224,8
1258,EOL PROU AH-G B26-15,9
1259,EOL PROU EK-Z D158,
1260,EOL PROU HM-D C28-1070,9
1261,EOL PROU HU-R C4-127,
1262,EOL PROU IR-M D7-1530,9
1263,EOL PROU IW-W E1-1146,
1264,EOL PROU IW-W E1-119,9
1265,EOL PROU IW-W E1-1273,9
1266,EOL PROU IW-W E1-2524,9
1267,EOL PROU IW-W E1-69,9
1268,EOL PROU JS-Z C14-16,9
1269,EOL PROU LW-L C8-298,9
1270,EOL PROU LX-S D4-1257,9
1271,EOL PROU MH-K C9-133,
1272,EOL PROU NC-V E2-346,
1273,EOL PROU PM-L C8-44,9
1274,EOL PROU PS-I C10-269,9
1275,EOL PROU PS-S D4-439,
1276,EOL PROU PX-T D3-1732,
1277,EOL PROU RV-W C2-354,9
1278,EOL PROU SQ-B D14-2142,9
1279,EOL PROU UC-L C8-33,9
1280,EOL PROU VD-T E3-2324,
1281,EOL PROU VP-O E6-91,9
1282,EOL PROU VY-R D4-545,
1283,EOL PROU WD-S D4-764,9
1284,EOL PROU WI-W B17-9,
1285,EOL PROU ZD-B D2740,
1286,EOL PROU ZP-P E5-1170,9
1287,EOL PRUAE KT-O D7-79,10
1288,EOLLS GRAAE CG-X E1-0,15
1289,EOLLS GRAAE FM-U D3-25,15
1290,EOLLS GRAAE HW-B C1-8,15
1291,EOLLS GRAAE YZ-Y E15,15
1292,EOLLS HYPAI XK-N C23-1,37
1293,EOLLS PHIO BV-V D3-2,37
1294,EOLLS PROU QO-L C10-16,16
1295,EOR AESCS VQ-C C26-2,
1296,EOR AEWSY UL-U C16-0,31
1297,EOR AOC EH-L D8-294,5
1298,EOR AOC EH-L D8-924,5
1299,EOR AOC IC-V E2-215,5
1300,EOR AUB DQ-Y F3629,4
1301,EOR AUB KS-I D10-5123,2
1302,EOR AUSCS MI-S E4-331,
1303,EOR AUSCS NI-S E4-13,
1304,EOR AUSCS XV-K D9-166,
1305,EORD FLYUAE HR-S B37-66,9
1306,EORD FLYUAE QI-A D1-188,9
1307,EORD PLOE FL-X C17-52,6
1308,EORD PLOE ST-Y D1-804,6
1309,EORD PRAU AA-A G45,6
1310,EORD PRAU AC-B D14-628,
1311,EORD PRAU BH-K D9-84,6
1312,EORD PRAU JM-V E2-212,6
1313,EORD PRAU UJ-P D6-1078,6
1314,EORD PRAU UJ-P D6-1079,6
1315,EORL AEWSY IS-S C17-1,31
1316,EORL AEWSY QD-K D8-11,31
1317,EORL AUWSY AB-Y B56-28,
1318,EORL AUWSY CM-W B57-17,
1319,EORL AUWSY DH-W B57-58,
1320,EORL AUWSY DM-W B57-45,
1321,EORL AUWSY DR-N E6-6001,2
1322,EORL AUWSY GM-D D12-197,2
1323,EORL AUWSY JR-N E6-6981,
1324,EORL AUWSY JR-N E6-7050,
1325,EORL AUWSY JX-Z C27-888,
1326,EORL AUWSY KN-Y C28-9,
1327,EORL AUWSY LN-Y C28-37,
1328,EORL AUWSY ND-Y C28-911,
1329,EORL AUWSY NS-B D13-2368,
1330,EORL AUWSY NS-B D13-4642,
1331,EORL AUWSY OS-B D13-1106,
1332,EORL AUWSY OS-B D13-132,
1333,EORL AUWSY OS-B D13-1619,
1334,EORL AUWSY OS-B D13-1952,
1335,EORL AUWSY PD-Y C28-178,
1336,EORL AUWSY PD-Y C28-54,
1337,EORL AUWSY PS-B D13-1805,
1338,EORL AUWSY PS-B D13-2869,
1339,EORL AUWSY PS-B D13-3974,
1340,EORL AUWSY PS-B D13-4295,
